"","Edad","Sexo","n"
"1","0","Femenino","5073"
"2","0","Masculino","5420"
"3","0","Sin Dato","9"
"4","1","Femenino","2248"
"5","1","Masculino","2538"
"6","1","Sin Dato","5"
"7","2","Femenino","1915"
"8","2","Masculino","1969"
"9","2","Sin Dato","7"
"10","3","Femenino","1877"
"11","3","Masculino","1925"
"12","3","Sin Dato","2"
"13","4","Femenino","2010"
"14","4","Masculino","2087"
"15","4","Sin Dato","4"
"16","5","Femenino","2108"
"17","5","Masculino","2273"
"18","5","Sin Dato","3"
"19","6","Femenino","2357"
"20","6","Masculino","2411"
"21","6","Sin Dato","4"
"22","7","Femenino","2516"
"23","7","Masculino","2469"
"24","7","Sin Dato","1"
"25","8","Femenino","2566"
"26","8","Masculino","2782"
"27","8","Sin Dato","2"
"28","9","Femenino","2925"
"29","9","Masculino","3012"
"30","9","Sin Dato","3"
"31","10","Femenino","3351"
"32","10","Masculino","3315"
"33","10","Sin Dato","3"
"34","11","Femenino","3579"
"35","11","Masculino","3651"
"36","11","Sin Dato","5"
"37","12","Femenino","3942"
"38","12","Masculino","3549"
"39","12","Sin Dato","4"
"40","13","Femenino","4589"
"41","13","Masculino","3946"
"42","13","Sin Dato","3"
"43","14","Femenino","5160"
"44","14","Masculino","4396"
"45","14","Sin Dato","3"
"46","15","Femenino","5999"
"47","15","Masculino","4949"
"48","15","Sin Dato","10"
"49","16","Femenino","7131"
"50","16","Masculino","5592"
"51","16","Sin Dato","11"
"52","17","Femenino","7796"
"53","17","Masculino","6350"
"54","17","Sin Dato","10"
"55","18","Femenino","9458"
"56","18","Masculino","7513"
"57","18","Sin Dato","10"
"58","19","Femenino","11548"
"59","19","Masculino","9437"
"60","19","Sin Dato","18"
"61","20","Femenino","13898"
"62","20","Masculino","11770"
"63","20","Sin Dato","33"
"64","21","Femenino","15859"
"65","21","Masculino","13337"
"66","21","Sin Dato","38"
"67","22","Femenino","16655"
"68","22","Masculino","14441"
"69","22","Sin Dato","49"
"70","23","Femenino","17459"
"71","23","Masculino","15083"
"72","23","Sin Dato","56"
"73","24","Femenino","18410"
"74","24","Masculino","16148"
"75","24","Sin Dato","43"
"76","25","Femenino","18505"
"77","25","Masculino","16750"
"78","25","Sin Dato","60"
"79","26","Femenino","19004"
"80","26","Masculino","16601"
"81","26","Sin Dato","60"
"82","27","Femenino","18876"
"83","27","Masculino","17036"
"84","27","Sin Dato","70"
"85","28","Femenino","18811"
"86","28","Masculino","16848"
"87","28","Sin Dato","63"
"88","29","Femenino","18546"
"89","29","Masculino","16600"
"90","29","Sin Dato","66"
"91","30","Femenino","18180"
"92","30","Masculino","16389"
"93","30","Sin Dato","51"
"94","31","Femenino","18256"
"95","31","Masculino","15816"
"96","31","Sin Dato","52"
"97","32","Femenino","17742"
"98","32","Masculino","15670"
"99","32","Sin Dato","61"
"100","33","Femenino","16632"
"101","33","Masculino","14783"
"102","33","Sin Dato","54"
"103","34","Femenino","16065"
"104","34","Masculino","14152"
"105","34","Sin Dato","41"
"106","35","Femenino","15143"
"107","35","Masculino","13343"
"108","35","Sin Dato","60"
"109","36","Femenino","14476"
"110","36","Masculino","12882"
"111","36","Sin Dato","52"
"112","37","Femenino","13990"
"113","37","Masculino","12231"
"114","37","Sin Dato","51"
"115","38","Femenino","13524"
"116","38","Masculino","12124"
"117","38","Sin Dato","54"
"118","39","Femenino","13409"
"119","39","Masculino","11890"
"120","39","Sin Dato","57"
"121","40","Femenino","13278"
"122","40","Masculino","11677"
"123","40","Sin Dato","64"
"124","41","Femenino","12851"
"125","41","Masculino","11150"
"126","41","Sin Dato","37"
"127","42","Femenino","12597"
"128","42","Masculino","10721"
"129","42","Sin Dato","34"
"130","43","Femenino","11856"
"131","43","Masculino","10221"
"132","43","Sin Dato","43"
"133","44","Femenino","11351"
"134","44","Masculino","9767"
"135","44","Sin Dato","44"
"136","45","Femenino","10555"
"137","45","Masculino","9278"
"138","45","Sin Dato","39"
"139","46","Femenino","10199"
"140","46","Masculino","8666"
"141","46","Sin Dato","41"
"142","47","Femenino","9760"
"143","47","Masculino","8527"
"144","47","Sin Dato","33"
"145","48","Femenino","9548"
"146","48","Masculino","8156"
"147","48","Sin Dato","31"
"148","49","Femenino","9239"
"149","49","Masculino","7764"
"150","49","Sin Dato","29"
"151","50","Femenino","8709"
"152","50","Masculino","7185"
"153","50","Sin Dato","32"
"154","51","Femenino","8195"
"155","51","Masculino","6917"
"156","51","Sin Dato","25"
"157","52","Femenino","8059"
"158","52","Masculino","6722"
"159","52","Sin Dato","21"
"160","53","Femenino","7869"
"161","53","Masculino","6574"
"162","53","Sin Dato","27"
"163","54","Femenino","7651"
"164","54","Masculino","6312"
"165","54","Sin Dato","26"
"166","55","Femenino","7044"
"167","55","Masculino","6120"
"168","55","Sin Dato","29"
"169","56","Femenino","7054"
"170","56","Masculino","5672"
"171","56","Sin Dato","26"
"172","57","Femenino","6857"
"173","57","Masculino","5757"
"174","57","Sin Dato","36"
"175","58","Femenino","6577"
"176","58","Masculino","5549"
"177","58","Sin Dato","23"
"178","59","Femenino","6411"
"179","59","Masculino","5418"
"180","59","Sin Dato","16"
"181","60","Femenino","6147"
"182","60","Masculino","5283"
"183","60","Sin Dato","22"
"184","61","Femenino","5805"
"185","61","Masculino","5022"
"186","61","Sin Dato","14"
"187","62","Femenino","5479"
"188","62","Masculino","4811"
"189","62","Sin Dato","16"
"190","63","Femenino","5062"
"191","63","Masculino","4459"
"192","63","Sin Dato","18"
"193","64","Femenino","4784"
"194","64","Masculino","4140"
"195","64","Sin Dato","20"
"196","65","Femenino","4378"
"197","65","Masculino","4036"
"198","65","Sin Dato","18"
"199","66","Femenino","4243"
"200","66","Masculino","3817"
"201","66","Sin Dato","11"
"202","67","Femenino","4061"
"203","67","Masculino","3760"
"204","67","Sin Dato","8"
"205","68","Femenino","3771"
"206","68","Masculino","3335"
"207","68","Sin Dato","12"
"208","69","Femenino","3438"
"209","69","Masculino","3239"
"210","69","Sin Dato","9"
"211","70","Femenino","3306"
"212","70","Masculino","3115"
"213","70","Sin Dato","7"
"214","71","Femenino","2933"
"215","71","Masculino","2759"
"216","71","Sin Dato","5"
"217","72","Femenino","2702"
"218","72","Masculino","2642"
"219","72","Sin Dato","10"
"220","73","Femenino","2483"
"221","73","Masculino","2355"
"222","73","Sin Dato","10"
"223","74","Femenino","2256"
"224","74","Masculino","2161"
"225","74","Sin Dato","9"
"226","75","Femenino","2065"
"227","75","Masculino","2061"
"228","75","Sin Dato","11"
"229","76","Femenino","1788"
"230","76","Masculino","1778"
"231","76","Sin Dato","1"
"232","77","Femenino","1648"
"233","77","Masculino","1656"
"234","77","Sin Dato","5"
"235","78","Femenino","1551"
"236","78","Masculino","1420"
"237","78","Sin Dato","3"
"238","79","Femenino","1373"
"239","79","Masculino","1251"
"240","79","Sin Dato","4"
"241","80","Femenino","1195"
"242","80","Masculino","1148"
"243","80","Sin Dato","6"
"244","81","Femenino","1141"
"245","81","Masculino","1137"
"246","81","Sin Dato","7"
"247","82","Femenino","1053"
"248","82","Masculino","1043"
"249","82","Sin Dato","2"
"250","83","Femenino","890"
"251","83","Masculino","983"
"252","83","Sin Dato","3"
"253","84","Femenino","883"
"254","84","Masculino","764"
"255","84","Sin Dato","6"
"256","85","Femenino","723"
"257","85","Masculino","678"
"258","85","Sin Dato","1"
"259","86","Femenino","685"
"260","86","Masculino","612"
"261","86","Sin Dato","2"
"262","87","Femenino","592"
"263","87","Masculino","487"
"264","87","Sin Dato","1"
"265","88","Femenino","469"
"266","88","Masculino","442"
"267","88","Sin Dato","2"
"268","89","Femenino","395"
"269","89","Masculino","365"
"270","89","Sin Dato","3"
"271","90","Femenino","342"
"272","90","Masculino","348"
"273","90","Sin Dato","2"
"274","91","Femenino","301"
"275","91","Masculino","238"
"276","91","Sin Dato","1"
"277","92","Femenino","244"
"278","92","Masculino","185"
"279","93","Femenino","192"
"280","93","Masculino","161"
"281","93","Sin Dato","1"
"282","94","Femenino","155"
"283","94","Masculino","109"
"284","95","Femenino","110"
"285","95","Masculino","87"
"286","96","Femenino","76"
"287","96","Masculino","68"
"288","97","Femenino","46"
"289","97","Masculino","42"
"290","98","Femenino","58"
"291","98","Masculino","42"
"292","99","Femenino","41"
"293","99","Masculino","42"
"294","100","Femenino","30"
"295","100","Masculino","16"
"296","101","Femenino","10"
"297","101","Masculino","3"
"298","102","Femenino","6"
"299","102","Masculino","4"
"300","103","Femenino","2"
"301","103","Masculino","3"
"302","104","Femenino","2"
"303","104","Masculino","3"
"304","105","Femenino","2"
"305","105","Masculino","1"
"306","106","Femenino","2"
"307","106","Masculino","1"
"308","107","Femenino","1"
"309","107","Masculino","2"
"310","108","Femenino","2"
"311","108","Masculino","4"
"312","109","Femenino","3"
"313","109","Masculino","3"
